sichuanese,english,matched_keywords,n_content,pred_deepseek,pred_glm4plus,preference
那真的不晓得咋个说了好在转手某张五条给上家打满,"Well, I really have nothing to say, I will just pass a five-bamboo to the player before me to make them win.",咋个,1,"""Well, I really don't know what to say. Luckily, I passed a five-bamboo tile to the player before me and that made them win big.""","I really don't know how to describe it, but it was great when I passed a 5-dots to the player before me to complete their set.",d
你这么多钱怎么把老子憋死啊,You think you can smoke me out just because you're rich?,老子,1,"""With all this money you've got, how are you trying to squeeze me dry?""","With all that money, how could you possibly leave me broke?",d
哇美国都好均匀呐哇好安逸好咋办,"Wow, the U.S. developed so well in every aspect and is so comfy, what should we do?",安逸,1,"Wow, even in America, it's all so balanced, wow, so comfortable, what should I do?","Wow, America is so evenly distributed, so comfortable and chill, what should I do?",d
凡是上面的人啥当官的来了啥子企业家来了石油局的来了啥子,"Whenever there are people above visiting, like some officials, some entrepreneurs, or the Petroleum Bureau, and so on......",啥子,1,"Whenever someone from up top shows up — like some official, or a businessman, or someone from the Oil Bureau — any of that sort...","Whenever someone from upstairs comes, be it government officials, entrepreneurs, or people from the Petroleum Bureau, you know...",d
确实因为他,"It's because of him, indeed.",确实,1,"Indeed, it's because of him.","It's because of him, really.",tie-good
味道还巴适,The taste is pretty good.,巴适,1,The taste is quite good.,The taste is pretty good.,tie-good
三室两厅一卫在一百五十平方左右的大灶台独家享用种花种菜还带两个阳台相当的巴适视野非常的宽阔,"It's a super cozy 3-bedroom, 2-living room, and 1-bathroom apartment, around 150 square meters. It features a huge open kitchen, a private garden just for me to plant flowers and veggies, and two balconies. It's absolutely amazing with a super wide and open view!",巴适,1,"A three-bedroom, two-living-room, one-bathroom apartment with around 150 square meters, featuring an exclusive large kitchen counter, space for planting flowers and vegetables, plus two balconies—it's quite comfortable and offers a very broad view.","A spacious three-bedroom, two-living room apartment with one bathroom, approximately 150 square meters. It features a large private kitchen, exclusive use of a garden space for planting flowers and vegetables, and two balconies. The living is incredibly comfortable with a very wide view.",d
那个铺盖也带一堆带了好多他那个床呢又比我们那儿矮一梯是木头一个板板一个缝老子比端了挡,"That person brought a whole mountain of bedding. And their bed? It’s a notch lower than ours, just a makeshift wooden thing with huge gaps between the planks. I was literally stuck right on top of those damn gaps, uncomfortable as hell!",老子,1,"That blanket brought a whole pile—who knows how many—and his bed is a step lower than ours back home. It’s just a wooden plank with a crack in it. I straightened it out, goddamn it, it’s in the way.","He brought a whole bunch of bedding with him, and his bed was a step shorter than the ones we have back home. It was just a wooden plank with gaps between the slats. Damn, I could've just pushed it over.",tie-bad
囧斗碗安逸今天整几个特色菜哦放心肯定给你们整巴适我来介绍一下,"Jiong Dou Wan is a good place. I’m going to whip up a few signature dishes today. Don't worry, I'll make sure you guys are thoroughly spoiled! Let me introduce them to you.",安逸|巴适|哦(语气词),2,"Jiong Dou Wan"" is cozy and chill. Today we’re whipping up a few signature dishes—don’t worry, we’ll make sure they’re done right. Let me break it down for you.","I've got a treat for you today with some special dishes. Don't worry, I'll make sure everything's absolutely perfect. Let me tell you all about it.",d
如果是中年女同志你要讲咋个辛苦咋个把老公管好自己咋个保养,"If you're talking to a middle-aged lady, you shoulds talk about how hard she works, how to keep her husband in line and how she can take care of herself.",咋个,1,"If it's a middle-aged woman, you need to talk about how hard she works, how she keeps her husband in line, and how she takes care of herself.","If it's a middle-aged woman you're talking to, you should talk about how hard it is to keep the husband in check and how to maintain yourself.",d
看着是不是很有感觉老表那些在外面买二手车怕上当的怕用精品车的价格买到事故车的在老表这里来买让你明明白白消费高高兴兴的开回家,"Doesn't this car look absolutely stunning? Look, my brothers, for those of you buying a used car out there and terrified of getting ripped off, scared of paying premium prices for a wrecked accident car, just come to your brother right here! I’ll make sure every penny you spend is crystal clear, and you can drive home with a massive smile on your face!",老表,1,"Doesn’t it look impressive, old pals? Those of you who’re worried about getting ripped off buying a used car elsewhere—afraid of paying a premium price for a wrecked car—come buy from your old pal here. I’ll make sure you spend with total clarity and drive home happy.","Doesn't that sound good? For all you folks worried about getting ripped off when buying a used car elsewhere—afraid of paying premium prices for a vehicle that's been in an accident—come here to buy from me. I'll make sure you understand exactly what you're getting, so you can drive home happy and worry-free.",d
生活那你应不应该了解你们妈老汉儿这一生中咋个把你带大的,"In life, shouldn't you understand how your parents have raised you thoughout their lives?",老汉|咋个,2,"In life, shouldn't you try to understand how your parents brought you up throughout your life?",Shouldn't you understand how your mom and dad have raised you throughout their lives?,tie-good
你两个妖精给我看啥子哎,What are you two troublemakers showing me?,啥子,1,What are you two little rascals showing me?,What are you two troublemakers looking at?,g
有这个因素这个烧菜哈硬是要放到第二顿才好吃这土豆还没得中间没得啥子味道的,"There’s definitely that factor. This kind of stew doesn't taste good until you heat it up for the next meal. Right now, the potatoes haven't really absorbed the flavor yet; the inside is still pretty bland.",硬是|啥子|哈(语气词),2,"This dish really does taste better the next day — the potatoes haven't absorbed much flavor in the middle yet, they're still pretty bland.","This potato dish really needs to be eaten as leftovers to taste its best. Right now, it has no flavor in the middle.",g
下一位老表龙头市公园至上能不能搞龙头市公园至上来看一下那些房子你们都搞出来问了我真的是,"Next up, my brothers! Can we do a review on Longtoushi Park Zhi-Shang? Let's take a look at those apartments. You guys keep asking about them, seriously...",老表,1,"Next up, old pal — can you make it happen from Longtoushi Park to the top? Come check out those houses. Y'all came to ask me, and honestly...""","Could the next person, my cousin, please clarify if you're talking about Longtou Park or up to Longtou Park? And could you come take a look at those houses you've arranged? I've been asked about this and it's really frustrating.",d
都安逸辣椒去掉外面的粗皮后讲究一点的可以把辣椒籽去掉,"Good, after removing the rough outer skin of the chili, if you want to be more particular, you can also remove the seeds.",安逸,1,"After removing the rough outer skin of the pepper, for those who are more particular, the seeds can also be taken out.","For a more refined preparation of sichuan peppercorns, remove the coarse outer skin, and if you want to be extra particular, you can also remove the seeds.",tie-good
柜子确实是有点难父母花个二三十万用尽全力供出来的大学生,"Raising a 'high-cost child' is truly hard these days. Parents have to exhaust all their savings, spending 200k to 300k just to push their kid through college.",确实,1,"The cabinet is indeed a bit difficult. Parents spend 200,000 to 300,000 yuan with all their might to support their college student.","It's indeed a bit difficult for parents who have spent their all, 200,000 to 300,000 yuan, to put a child through college.",tie-bad
脸都长得老子肉多得很,"Look at my face, it’s just a massive pile of cheek fat right now",老子,1,Your face is so fleshy it’s got more meat on it than mine!,My face is so chubby it's ridiculous.,g
晓得有啥子不嘛房那个叫蛇口水,Don't you know? There they call that Shekou water.,啥子|嘛(语气词),1,Do you know what that stuff on the wall is called? Snake drool.,You know what they call that Shekou place over there?,g
下锅煎至两面金黄加开水把汤熬白倒出里面的鸡蛋只要汤准备一套幺妈子新出的钵钵鸡调料,"Pan-fry the eggs until golden brown on both sides, then pour in boiling water and boil on high heat until the broth turns milky white. Strain out the eggs, keeping only the rich broth. Finally, get a set of the newly released Bobo Chicken seasoning from Yaomazi ready.",幺(称谓/方言),1,"Pan-fry until both sides are golden brown, then add boiling water to bring out a creamy white broth. Strain out the eggs, keeping only the broth. Prepare a set of the newly released ""Momo Chicken"" seasoning by Auntie.","Pan-fry the eggs until golden brown on both sides, then add hot water and simmer until the broth turns white. Remove the eggs and keep only the broth. Prepare with the new Bobo Chicken seasoning sauce from your aunt's restaurant.",tie-bad
所以你可能不相信但确实他就是我一个人住的,"So, you probably don't believe it, but I do live by myself.",确实,1,"So you might not believe it, but it's true — I live all by myself.","So you might not believe it, but I really do live all by myself.",d
走嘛走嘛还多安逸的上面还有个阳台,"Come on, let's go, it's so cozy up there with the balcony.",安逸|嘛(语气词),1,"Let's go, let's go — it's pretty cozy up there, and there's even a balcony.","Come on, it's so nice up here, and there's even a balcony.",tie-good
