sichuanese,english,matched_keywords,n_content,GLM-4-Plus_pred,GLM-4-Plus_refusal,GLM-4-Plus_BLEU,GLM-4-Plus_chrF,GLM-4-Plus_COMET,DeepSeek-V4-Flash_pred,DeepSeek-V4-Flash_refusal,DeepSeek-V4-Flash_BLEU,DeepSeek-V4-Flash_chrF,DeepSeek-V4-Flash_COMET
那真的不晓得咋个说了好在转手某张五条给上家打满,"Well, I really have nothing to say, I will just pass a five-bamboo to the player before me to make them win.",咋个,1,"I really don't know how to describe it, but it was great when I passed a 5-dots to the player before me to complete their set.",False,19.4227,38.027,65.1732,"""Well, I really don't know what to say. Luckily, I passed a five-bamboo tile to the player before me and that made them win big.""",False,25.0426,58.2976,70.7265
你这么多钱怎么把老子憋死啊,You think you can smoke me out just because you're rich?,老子,1,"With all that money, how could you possibly leave me broke?",False,4.0654,16.5786,56.7253,"""With all this money you've got, how are you trying to squeeze me dry?""",False,2.8265,20.5901,54.2574
哇美国都好均匀呐哇好安逸好咋办,"Wow, the U.S. developed so well in every aspect and is so comfy, what should we do?",安逸,1,"Wow, America is so evenly distributed, so comfortable and chill, what should I do?",False,10.5369,34.0896,67.8695,"Wow, even in America, it's all so balanced, wow, so comfortable, what should I do?",False,9.8759,31.6636,67.4411
凡是上面的人啥当官的来了啥子企业家来了石油局的来了啥子,"Whenever there are people above visiting, like some officials, some entrepreneurs, or the Petroleum Bureau, and so on......",啥子,1,"Whenever someone from upstairs comes, be it government officials, entrepreneurs, or people from the Petroleum Bureau, you know...",False,17.6856,53.362,67.8056,"Whenever someone from up top shows up — like some official, or a businessman, or someone from the Oil Bureau — any of that sort...",False,7.6049,34.7693,68.2517
确实因为他,"It's because of him, indeed.",确实,1,"It's because of him, really.",False,64.3459,68.623,92.7356,"Indeed, it's because of him.",False,27.7762,72.439,93.336
味道还巴适,The taste is pretty good.,巴适,1,The taste is pretty good.,False,100.0,100.0,97.691,The taste is quite good.,False,37.9918,54.9622,94.5547
三室两厅一卫在一百五十平方左右的大灶台独家享用种花种菜还带两个阳台相当的巴适视野非常的宽阔,"It's a super cozy 3-bedroom, 2-living room, and 1-bathroom apartment, around 150 square meters. It features a huge open kitchen, a private garden just for me to plant flowers and veggies, and two balconies. It's absolutely amazing with a super wide and open view!",巴适,1,"A spacious three-bedroom, two-living room apartment with one bathroom, approximately 150 square meters. It features a large private kitchen, exclusive use of a garden space for planting flowers and vegetables, and two balconies. The living is incredibly comfortable with a very wide view.",False,20.5572,53.6714,79.7682,"A three-bedroom, two-living-room, one-bathroom apartment with around 150 square meters, featuring an exclusive large kitchen counter, space for planting flowers and vegetables, plus two balconies—it's quite comfortable and offers a very broad view.",False,5.8292,47.066,78.8542
那个铺盖也带一堆带了好多他那个床呢又比我们那儿矮一梯是木头一个板板一个缝老子比端了挡,"That person brought a whole mountain of bedding. And their bed? It’s a notch lower than ours, just a makeshift wooden thing with huge gaps between the planks. I was literally stuck right on top of those damn gaps, uncomfortable as hell!",老子,1,"He brought a whole bunch of bedding with him, and his bed was a step shorter than the ones we have back home. It was just a wooden plank with gaps between the slats. Damn, I could've just pushed it over.",False,7.2109,36.7886,67.1423,"That blanket brought a whole pile—who knows how many—and his bed is a step lower than ours back home. It’s just a wooden plank with a crack in it. I straightened it out, goddamn it, it’s in the way.",False,7.1134,31.7783,60.7923
囧斗碗安逸今天整几个特色菜哦放心肯定给你们整巴适我来介绍一下,"Jiong Dou Wan is a good place. I’m going to whip up a few signature dishes today. Don't worry, I'll make sure you guys are thoroughly spoiled! Let me introduce them to you.",安逸|巴适|哦(语气词),2,"I've got a treat for you today with some special dishes. Don't worry, I'll make sure everything's absolutely perfect. Let me tell you all about it.",False,18.5029,33.1204,66.4893,"Jiong Dou Wan"" is cozy and chill. Today we’re whipping up a few signature dishes—don’t worry, we’ll make sure they’re done right. Let me break it down for you.",False,12.8511,42.0168,73.3684
如果是中年女同志你要讲咋个辛苦咋个把老公管好自己咋个保养,"If you're talking to a middle-aged lady, you shoulds talk about how hard she works, how to keep her husband in line and how she can take care of herself.",咋个,1,"If it's a middle-aged woman you're talking to, you should talk about how hard it is to keep the husband in check and how to maintain yourself.",False,15.865,55.5051,75.4279,"If it's a middle-aged woman, you need to talk about how hard she works, how she keeps her husband in line, and how she takes care of herself.",False,42.7701,62.7037,85.3043
看着是不是很有感觉老表那些在外面买二手车怕上当的怕用精品车的价格买到事故车的在老表这里来买让你明明白白消费高高兴兴的开回家,"Doesn't this car look absolutely stunning? Look, my brothers, for those of you buying a used car out there and terrified of getting ripped off, scared of paying premium prices for a wrecked accident car, just come to your brother right here! I’ll make sure every penny you spend is crystal clear, and you can drive home with a massive smile on your face!",老表,1,"Doesn't that sound good? For all you folks worried about getting ripped off when buying a used car elsewhere—afraid of paying premium prices for a vehicle that's been in an accident—come here to buy from me. I'll make sure you understand exactly what you're getting, so you can drive home happy and worry-free.",False,15.8192,42.741,79.0019,"Doesn’t it look impressive, old pals? Those of you who’re worried about getting ripped off buying a used car elsewhere—afraid of paying a premium price for a wrecked car—come buy from your old pal here. I’ll make sure you spend with total clarity and drive home happy.",False,8.8958,40.721,74.3701
生活那你应不应该了解你们妈老汉儿这一生中咋个把你带大的,"In life, shouldn't you understand how your parents have raised you thoughout their lives?",老汉|咋个,2,Shouldn't you understand how your mom and dad have raised you throughout their lives?,False,28.4446,74.1299,85.3706,"In life, shouldn't you try to understand how your parents brought you up throughout your life?",False,35.413,63.1738,86.8939
你两个妖精给我看啥子哎,What are you two troublemakers showing me?,啥子,1,What are you two troublemakers looking at?,False,54.1082,73.8287,73.6609,What are you two little rascals showing me?,False,43.167,59.6095,75.8209
有这个因素这个烧菜哈硬是要放到第二顿才好吃这土豆还没得中间没得啥子味道的,"There’s definitely that factor. This kind of stew doesn't taste good until you heat it up for the next meal. Right now, the potatoes haven't really absorbed the flavor yet; the inside is still pretty bland.",硬是|啥子|哈(语气词),2,"This potato dish really needs to be eaten as leftovers to taste its best. Right now, it has no flavor in the middle.",False,6.5406,23.9649,65.4478,"This dish really does taste better the next day — the potatoes haven't absorbed much flavor in the middle yet, they're still pretty bland.",False,9.5976,40.1925,72.236
下一位老表龙头市公园至上能不能搞龙头市公园至上来看一下那些房子你们都搞出来问了我真的是,"Next up, my brothers! Can we do a review on Longtoushi Park Zhi-Shang? Let's take a look at those apartments. You guys keep asking about them, seriously...",老表,1,"Could the next person, my cousin, please clarify if you're talking about Longtou Park or up to Longtou Park? And could you come take a look at those houses you've arranged? I've been asked about this and it's really frustrating.",False,10.2193,34.8679,59.0005,"Next up, old pal — can you make it happen from Longtoushi Park to the top? Come check out those houses. Y'all came to ask me, and honestly...""",False,8.0714,31.9057,60.0674
都安逸辣椒去掉外面的粗皮后讲究一点的可以把辣椒籽去掉,"Good, after removing the rough outer skin of the chili, if you want to be more particular, you can also remove the seeds.",安逸,1,"For a more refined preparation of sichuan peppercorns, remove the coarse outer skin, and if you want to be extra particular, you can also remove the seeds.",False,41.2386,60.5676,79.3768,"After removing the rough outer skin of the pepper, for those who are more particular, the seeds can also be taken out.",False,31.4301,61.8794,80.3121
柜子确实是有点难父母花个二三十万用尽全力供出来的大学生,"Raising a 'high-cost child' is truly hard these days. Parents have to exhaust all their savings, spending 200k to 300k just to push their kid through college.",确实,1,"It's indeed a bit difficult for parents who have spent their all, 200,000 to 300,000 yuan, to put a child through college.",False,6.2025,31.096,68.0842,"The cabinet is indeed a bit difficult. Parents spend 200,000 to 300,000 yuan with all their might to support their college student.",False,4.4629,29.1564,61.2679
脸都长得老子肉多得很,"Look at my face, it’s just a massive pile of cheek fat right now",老子,1,My face is so chubby it's ridiculous.,False,2.3021,12.9643,64.4458,Your face is so fleshy it’s got more meat on it than mine!,False,3.1443,18.8396,52.9744
晓得有啥子不嘛房那个叫蛇口水,Don't you know? There they call that Shekou water.,啥子|嘛(语气词),1,You know what they call that Shekou place over there?,False,25.9654,55.317,71.2197,Do you know what that stuff on the wall is called? Snake drool.,False,6.609,28.8813,52.2929
下锅煎至两面金黄加开水把汤熬白倒出里面的鸡蛋只要汤准备一套幺妈子新出的钵钵鸡调料,"Pan-fry the eggs until golden brown on both sides, then pour in boiling water and boil on high heat until the broth turns milky white. Strain out the eggs, keeping only the rich broth. Finally, get a set of the newly released Bobo Chicken seasoning from Yaomazi ready.",幺(称谓/方言),1,"Pan-fry the eggs until golden brown on both sides, then add hot water and simmer until the broth turns white. Remove the eggs and keep only the broth. Prepare with the new Bobo Chicken seasoning sauce from your aunt's restaurant.",False,30.1656,53.8187,76.8032,"Pan-fry until both sides are golden brown, then add boiling water to bring out a creamy white broth. Strain out the eggs, keeping only the broth. Prepare a set of the newly released ""Momo Chicken"" seasoning by Auntie.",False,29.4904,55.5116,74.5968
所以你可能不相信但确实他就是我一个人住的,"So, you probably don't believe it, but I do live by myself.",确实,1,"So you might not believe it, but I really do live all by myself.",False,35.2186,55.4229,91.0234,"So you might not believe it, but it's true — I live all by myself.",False,23.1832,47.646,90.3661
走嘛走嘛还多安逸的上面还有个阳台,"Come on, let's go, it's so cozy up there with the balcony.",安逸|嘛(语气词),1,"Come on, it's so nice up here, and there's even a balcony.",False,19.2516,41.9464,85.2854,"Let's go, let's go — it's pretty cozy up there, and there's even a balcony.",False,16.9065,50.1316,83.6455
也方便给娃娃洗澡我们两个卫生间大概都有将近十平那确实很大啊,It's also convenient for bathing the kids. Our two bathrooms are both around 10 square meters each. That's genuinely big!,确实,1,It's also convenient for bathing the baby. Our two bathrooms are each nearly 10 square meters—that's really spacious!,False,39.6752,64.7136,91.2195,It’s also convenient for bathing the kids. Both of our bathrooms are about nearly ten square meters each. That’s really spacious!,False,37.2309,63.5693,91.8984
但是它确实发生过了否则你就不会体验到这种美好,But it indeed happened. Otherwise you wouldn't have experienced this kind of happiness.,确实,1,"But it really did happen, otherwise you wouldn't be experiencing this beauty.",False,8.2764,48.4558,79.6934,"But it really happened, otherwise you wouldn’t have experienced such beauty.",False,8.6162,52.5371,83.8537
老子跟你说戴安全帽也不安全你,"I'm telling you even wearing a hard hat ain't completely safe, you...",老子,1,"I'm telling you, even with a hard hat on, you're not safe.",False,17.4874,43.5083,86.0204,"I'm telling you, even wearing a hard hat ain't safe.",False,40.8906,64.4996,89.9198
